"spp","bcr","detbcr","mean_off0","mean_off1","mean_off2","adj","alpha"
"ALFL","BCR_4",1762,0.515686331114225,0.463729922661947,0.4525193067993,0.0112106158626465,1.01127369029738
"ALFL","BCR_5",401,0.465467914481094,0.417037660283075,0.408271856809257,0.00876580347381894,1.00880433563525
"ALFL","BCR_60",8524,0.463459603215706,0.362164211793009,0.387313801551509,-0.0251495897584998,0.975164026565887
"ALFL","BCR_61",1021,0.501528357354958,0.471251236349662,0.466976179385918,0.00427505696374469,1.0042842080556
"ALFL","BCR_70",1206,0.475234198411193,0.368187867380961,0.430968967653772,-0.0627811002728112,0.939149030656731
"ALFL","BCR_71",671,0.215286003413684,0.132595407896321,0.422505151712667,-0.289909743816347,0.748331106040378
"ALFL","BCR_80",3398,0.493262702279812,0.457423442790242,0.514955985711934,-0.0575325429216925,0.944091166401602
"ALFL","BCR_81",3865,0.328035276429811,0.314920742570974,0.462043124513166,-0.147122381942192,0.86318833228734
"ALFL","BCR_82",5175,0.255429129361507,0.228505166380912,0.447686803727652,-0.21918163734674,0.803175818179006
"ALFL","BCR_83",25,-0.399611461927462,-0.695024377907481,0.0446808275197352,-0.739705205427216,0.477254586847483
"ALFL","BCR_9",104,0.488584763566791,0.442165688798383,0.430918306062944,0.0112473827354388,1.01131087235204
"ALFL","BCR_10",2381,0.442616393174693,0.386257935605711,0.380089882135708,0.00616805347000338,1.00618711508267
"ALFL","BCR_11",2986,0.41874114502873,0.175394168344801,0.215755249155128,-0.0403610808103274,0.960442579149094
"ALFL","BCR_12",10400,0.29400863192442,0.254217215697841,0.438572357832129,-0.184355142134288,0.831640400827841
"ALFL","BCR_13",5798,0.278508076718139,0.214883370444626,0.429483492877695,-0.214600122433069,0.806864022498472
"ALFL","BCR_14",7914,0.153355454891487,0.12218397648529,0.439939849564215,-0.317755873078925,0.72778043752668
"AMCR","BCR_4",69,2.06687376376247,2.06184689089112,1.97697256593834,0.0848743249527781,1.08858025072699
"AMCR","BCR_5",635,2.10417076934938,2.12520659964125,2.01889401820377,0.106312581437482,1.11216946570905
"AMCR","BCR_60",10825,1.93314646584942,1.94266369008499,1.99220558657435,-0.0495418964893546,0.951665285866696
"AMCR","BCR_61",35,2.03507480178229,2.0264422071157,2.00192741205766,0.0245147950580349,1.02481775323317
"AMCR","BCR_70",108,1.85841459867915,1.81771278551991,1.92718747403426,-0.109474688514345,0.896304850882369
"AMCR","BCR_71",224,1.67935952991108,1.69182980762411,1.99377762915523,-0.301947821531122,0.739376643424216
"AMCR","BCR_80",2689,1.89145732408931,1.90054746291521,2.0118165894549,-0.111269126539693,0.894697929567189
"AMCR","BCR_81",2933,1.8082001401526,1.83479247405995,2.04255175791031,-0.20775928385036,0.812402571595785
"AMCR","BCR_82",3543,1.73270807174632,1.74107788436263,2.02114897264634,-0.280071088283719,0.755730015996331
"AMCR","BCR_83",304,1.16107601148083,1.16613975709999,1.77014994006269,-0.604010182962702,0.546615208003982
"AMCR","BCR_9",1172,2.09939458718509,2.10721852329658,1.99589551597204,0.111323007324538,1.11775589189104
"AMCR","BCR_10",2987,2.00232744101249,1.99462853977623,1.92591316665702,0.0687153731192174,1.0711312929979
"AMCR","BCR_11",11014,1.88542553477587,1.90316120254332,1.99168032534216,-0.0885191227988473,0.91528560774608
"AMCR","BCR_12",26526,1.77694587102554,1.80448226593085,2.04739087456944,-0.242908608638595,0.784343192688279
"AMCR","BCR_13",26709,1.75500271146405,1.78372482479834,2.05056864219712,-0.266843817398784,0.765792665616376
"AMCR","BCR_14",14458,1.66355229538424,1.68844153545225,2.02573265074333,-0.337291115291076,0.713701040371268
"AMRE","BCR_4",886,-0.048669095446138,-0.0913734732474932,-0.0968954268739132,0.00552195362641998,1.00553722771367
"AMRE","BCR_5",740,-0.0659868338528195,-0.105725862644934,-0.10852591500267,0.00280005235773603,1.00280397616577
"AMRE","BCR_60",6219,-0.121165634868323,-0.192902856435665,-0.178269259751992,-0.0146335966836735,0.985472954019087
"AMRE","BCR_61",359,-0.0910514849961268,-0.102534651989605,-0.105023878614996,0.00248922662539044,1.00249232732223
"AMRE","BCR_70",56,-0.0234749841120762,-0.104952224225409,-0.0702506787805244,-0.0347015454448848,0.965893648602481
"AMRE","BCR_71",275,-0.206525425230375,-0.278995462491748,-0.117249637458539,-0.161745825033209,0.850657392878823
"AMRE","BCR_80",980,-0.0407110584039718,-0.0815122933438456,-0.0482097634482703,-0.0333025298955754,0.967245894521833
"AMRE","BCR_81",2724,-0.219907284050497,-0.239991116141379,-0.154640484764762,-0.0853506313766172,0.918190281630174
"AMRE","BCR_82",3745,-0.25108384972308,-0.280594722092031,-0.153482469033651,-0.12711225305838,0.880634813097534
"AMRE","BCR_83",83,-0.664883636385674,-0.928005934968078,-0.500847569644448,-0.42715836532363,0.652360232807618
"AMRE","BCR_9",251,-0.0341948056438354,-0.0703495926080599,-0.0747361966426297,0.00438660403456986,1.00439623926554
"AMRE","BCR_10",4352,-0.0926752363551192,-0.134298046134312,-0.13663446791375,0.00233642177943821,1.00233915333975
"AMRE","BCR_11",2781,-0.185060054387954,-0.349598994107856,-0.32635645873666,-0.0232425353711956,0.97702549179465
"AMRE","BCR_12",10902,-0.25668217672504,-0.290785631476957,-0.182172668593258,-0.108612962883699,0.897077552625879
"AMRE","BCR_13",7438,-0.260297506833936,-0.309549382378596,-0.18292464497629,-0.126624737402307,0.881064241024116
"AMRE","BCR_14",7877,-0.342391543928541,-0.371725699246814,-0.185787231824448,-0.185938467422365,0.830324685428221
"AMRO","BCR_4",3128,0.591339470488818,0.576707507675437,0.577155405638291,-0.00044789796285416,0.999552202328464
"AMRO","BCR_5",7884,0.52905802502463,0.515675108823109,0.526701319337598,-0.0110262105144897,0.989034355336335
"AMRO","BCR_60",14977,0.550284612609513,0.525444952424986,0.548958849592113,-0.0235138971671272,0.976760400371995
"AMRO","BCR_61",1518,0.576635192894209,0.564621427372561,0.562554454719381,0.00206697265317934,1.00206911031373
"AMRO","BCR_70",2221,0.513393979068064,0.48562399405568,0.54651626096673,-0.0608922669110498,0.940924603029777
"AMRO","BCR_71",1057,0.280183231573363,0.255545788016136,0.551831084958737,-0.296285296942601,0.743575258008187
"AMRO","BCR_80",4290,0.54883275894224,0.538053738247563,0.593157390829168,-0.0551036525816044,0.946387047408723
"AMRO","BCR_81",5013,0.421461798981149,0.41417513541271,0.563002117118172,-0.148826981705462,0.861718195014266
"AMRO","BCR_82",7757,0.341867317944295,0.33299548340686,0.559169007622328,-0.226173524215468,0.79757969026713
"AMRO","BCR_83",806,-0.373529943768806,-0.459631618358477,0.285898508853342,-0.745530127211819,0.474482697065788
"AMRO","BCR_9",6802,0.53996038584341,0.527897777222885,0.535661059676717,-0.00776328245383251,0.992266773994206
"AMRO","BCR_10",14752,0.511001276295486,0.496247573192387,0.501415625736624,-0.00516805254423719,0.99484527886362
"AMRO","BCR_11",10177,0.484680320565958,0.431497793525025,0.467299127480478,-0.0358013339554529,0.964831953792207
"AMRO","BCR_12",33657,0.380128602538966,0.369498756175622,0.560560378803808,-0.191061622628186,0.826081681258406
"AMRO","BCR_13",34434,0.354072641377422,0.338970397940803,0.563394706630951,-0.224424308690149,0.798976049955004
"AMRO","BCR_14",22142,0.220234834504395,0.211318463432411,0.544707531567451,-0.33338906813504,0.716491375956162
"ATSP","BCR_4",425,0.448659131703217,0.347094033807423,0.394135429976528,-0.047041396169105,0.954047902844591
"ATSP","BCR_5",137,0.190670919034688,-0.15922624383519,-0.079971972541108,-0.0792542712940824,0.923804997486571
"ATSP","BCR_60",63,0.490225288248784,0.293550923404413,0.261049431011645,0.0325014923927684,1.03303543483743
"ATSP","BCR_61",205,0.466730762811921,0.350009331706396,0.363304299347516,-0.0132949676411198,0.986793020078248
"ATSP","BCR_70",1090,0.632402246853782,0.554120018653801,0.510802783109064,0.0433172355447365,1.04426912159303
"ATSP","BCR_71",87,0.561026674656055,0.457673468727765,0.326814248193985,0.13085922053378,1.13980730855213
"ATSP","BCR_80",20,0.5651309689772,0.287616614999151,0.222314756367035,0.0653018586321162,1.06748120417147
"ATSP","BCR_81",0,0.384903387232109,0.175134510589946,0.0582705699559242,0.116863940634022,1.12396649311811
"ATSP","BCR_82",5,0.499236642776832,0.296003269059444,0.154092648512521,0.141910620546923,1.15247363647018
"ATSP","BCR_83",0,0.453863848475225,0.36947626773058,0.115262298810454,0.254213968920126,1.28944767647961
"ATSP","BCR_9",0,0.276233888981361,0.0609165730068832,0.13838611497451,-0.0774695419676266,0.925455211512165
"ATSP","BCR_10",40,0.338184246883778,0.237630922045103,0.28055608166063,-0.0429251596155271,0.957983083206492
"ATSP","BCR_11",1,0.564240087761773,0.346177798738335,0.288992557077691,0.0571852416606441,1.0588519357206
"ATSP","BCR_12",0,0.405886539939594,0.189231902700022,0.0461935618918908,0.143038340808131,1.15377403744698
"ATSP","BCR_13",0,0.415940915553333,0.223120823755089,0.0635098341396253,0.159610989615464,1.17305445185828
"ATSP","BCR_14",0,0.43620185671493,0.239117903310713,0.0575043057922596,0.181613597518453,1.19915074952225
"BBMA","BCR_4",22,1.94505876603253,1.94625011856253,2.09133989489987,-0.145089776337349,0.864944638063386
"BBMA","BCR_5",116,1.79667954410877,1.79607709102,2.06625077979028,-0.270173688770284,0.763246915405291
"BBMA","BCR_60",3191,1.92760600737095,1.92684387196201,2.00996571951815,-0.0831218475561317,0.920239011513923
"BBMA","BCR_61",0,2.01929218764576,2.00877492886011,2.03611359890303,-0.027338670042921,0.973031649045592
"BBMA","BCR_70",1,1.74887505883858,1.74961014605273,2.00764541262589,-0.25803526657316,0.772567985801097
"BBMA","BCR_71",0,0.483670158251785,0.469861812622664,2.09689984665771,-1.62703803403505,0.196510771175024
"BBMA","BCR_80",304,1.84176255795385,1.84176882939087,2.04579552553907,-0.204026696148196,0.815440601773564
"BBMA","BCR_81",73,1.40536253896228,1.38705705739998,2.10360395930581,-0.716546901905826,0.488435964579846
"BBMA","BCR_82",0,0.919070283689864,0.920981612767688,2.08753472207868,-1.16655310931099,0.311438588049144
"BBMA","BCR_83",0,-2.26055277444445,-2.28082495127837,1.83277901684392,-4.11360396812229,0.0163487478589452
"BBMA","BCR_9",390,1.81701474729285,1.81647117237437,2.0631472142509,-0.24667604187653,0.78139379139896
"BBMA","BCR_10",1186,1.85644272503648,1.85641772675955,2.0067561012036,-0.150338374444048,0.860416784110845
"BBMA","BCR_11",3683,1.88316592227485,1.88315998345167,1.98799946733631,-0.10483948388464,0.900469050780436
"BBMA","BCR_12",466,1.14237222488189,1.13861119158678,2.1026282068034,-0.964017015216619,0.381357884551969
"BBMA","BCR_13",0,0.945577637169366,0.944950532578081,2.10813433699376,-1.16318380441568,0.312489689354475
"BBMA","BCR_14",0,0.238657386344871,0.238887077337964,2.08068023138109,-1.84179315404312,0.15853289717552
"BBWA","BCR_4",275,-0.881037358478923,-0.956762486242902,-0.99041887014793,0.0336563839050279,1.03422916787639
"BBWA","BCR_5",0,-0.926007581870758,-0.99741391942769,-1.04508146453857,0.047667545110875,1.04882191138461
"BBWA","BCR_60",1869,-0.95243791796007,-1.1227418813693,-1.10264366883195,-0.0200982125373499,0.98010241023514
"BBWA","BCR_61",295,-0.927438278936499,-0.967256746847126,-0.976704292728491,0.00944754588136565,1.00949231481741
"BBWA","BCR_70",19,-0.880154767875013,-1.04866659762823,-1.00949021133471,-0.0391763862935179,0.961581084463666
"BBWA","BCR_71",178,-0.994982626989915,-1.11323265723673,-1.00316717894545,-0.110065478291287,0.895775479528433
"BBWA","BCR_80",629,-0.897755070232542,-0.947691332625256,-0.904299911095486,-0.0433914215297702,0.957536516296965
"BBWA","BCR_81",1014,-1.02374797779754,-1.03353798065725,-0.953470693148311,-0.0800672875089442,0.92305423427693
"BBWA","BCR_82",1505,-1.05011866562169,-1.08172118461232,-0.976635165313474,-0.105086019298851,0.900247080632893
"BBWA","BCR_83",0,-1.28968335451985,-1.70841948505464,-1.48048753147138,-0.227931953583262,0.796178435081809
"BBWA","BCR_9",0,-0.915681100943651,-0.988493176376838,-1.03660907651314,0.0481159001363072,1.04929226139338
"BBWA","BCR_10",13,-0.960417793670658,-1.04813040744685,-1.07654356836045,0.0284131609136045,1.02882066510861
